"soilseriesname","errorkind","context","mlraoffice"
"BECKTON","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"BENDERLY","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"BICKERDYKE","DUPLICATION OF HEADERS","[SAR:  15 to 30]","bozeman, mt"
"BICKETT","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"BLACKSPOT","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"BLUERIM","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"BOLES","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"BOSTRUM","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"BRINEGAR","MULTILINE TYPICAL PEDON","[number of multilines=8]","bozeman, mt"
"BRINGMEE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"BROKENHORN","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"BROWNSCOMBE","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"BRUNEEL","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"BRUNELDA","DUPLICATION OF HEADERS","[SAR:  25 to 45]","bozeman, mt"
"BURKEMONT","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"CABBART","DUPLICATION OF HEADERS","[SAR:  0 to 10]","bozeman, mt"
"CABIN","SECTION HEADINGS",NA,"bozeman, mt"
"CAGEY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"CAMASCREEK","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"CARDWELL","DUPLICATION OF HEADERS","[SAR: 0 to 8 (saline phase)]","bozeman, mt"
"CAREY LAKE","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"CATHEEN","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"CAYUSE","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"CHAMBEAM","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"CHICANE","SECTION HEADINGS",NA,"bozeman, mt"
"CHRISTOFF","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"CHRISTY","SECTION HEADINGS",NA,"bozeman, mt"
"CHUCKANUT","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"CLEMS","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"CLOVERCREEK","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"CLOWERS","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"CRACKERCREEK","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"DAMORE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"DAWNY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"DERRINGER","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"DICK","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"DOMINGUEZ","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"DORS","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"DOUGHSPON","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"DRYFORK","DUPLICATION OF HEADERS","[SAR:  13 to 40]","bozeman, mt"
"DURKEE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"EDENVALLEY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"EDFRO","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"EINE","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"ELKSEL","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"ELLOAM","DUPLICATION OF HEADERS","[SAR:  13 to 25]","bozeman, mt"
"ELMO","DUPLICATION OF HEADERS","[SAR:  45 to 100]","bozeman, mt"
"EMPEDRADO","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FARDRAW","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FARROT","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"FIELD","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"FISHTRAP","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FIVES","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FLANNERY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FLATCREEK","DUPLICATION OF HEADERS","[SAR:  4 to 13]","bozeman, mt"
"FORNOR","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FOSS","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"FREELS","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FRIEDMAN","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"FURSHUR","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"GALBRETH","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Denver, Colorado]","bozeman, mt"
"GALBRETH","DUPLICATE STANDARD SECTIONS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE]","bozeman, mt"
"GALLATIN","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"GALLUP","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GARBUTT","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"GEE","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GEOCONDA","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"GERDRUM","DUPLICATION OF HEADERS","[SAR:  10 to 20; pedons with sodium adsorption ratio of less than 13 have more exchangeable magnesium plus sodium than calcium plus exchange acidity at pH 8.2.,SAR:  13 to 30]","bozeman, mt"
"GILES","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GIMLETT","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"GLENDO","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GOJIYA","DUPLICATION OF HEADERS","[SAR: 0 to 10]","bozeman, mt"
"GOODINGTON","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"GOODRICH","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"GRANDMESA","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GRASSVALLEY","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GREENSCOMBE","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"GREYBULL","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"GROVE","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"GUEMES","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"HAINES","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"HAPUR","MULTILINE TYPICAL PEDON","[number of multilines=6]","bozeman, mt"
"HARAHILL","MULTILINE TYPICAL PEDON","[number of multilines=4]","bozeman, mt"
"HARDSCRABBLE","SECTION HEADINGS",NA,"bozeman, mt"
"HARLAKE","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"HARLEM","DUPLICATION OF HEADERS","[SAR:  0 to 30; saline phase is 13 to 30]","bozeman, mt"
"HARSTON","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"HAVRE","DUPLICATION OF HEADERS","[SAR:  0 to 13]","bozeman, mt"
"HEFLIN","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"HELMER","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"HETZ","DUPLICATION OF HEADERS","[SAR: 0 to 5]","bozeman, mt"
"HOOGDAL","MULTILINE TYPICAL PEDON","[number of multilines=2]","bozeman, mt"
"HORSELAKE","DUPLICATION OF HEADERS","[SAR:  0 to 5]","bozeman, mt"
"HOUK","MULTILINE TYPICAL PEDON","[number of multilines=7]","bozeman, mt"
"HOVDE","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"HUDSPETH","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"HYALL","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"HYDRO","DUPLICATION OF HEADERS","[SAR: 15 to 30]","bozeman, mt"
"HYSHOT","MULTILINE TYPICAL PEDON","[number of multilines=1]","bozeman, mt"
"IDAHOME","MULTILINE TYPICAL PEDON","[number of multilines=5]","bozeman, mt"
"IMMIANT","MULTILINE TYPICAL PEDON","[number of multilines=3]","bozeman, mt"
"IRVINE","DUPLICATION OF HEADERS","[SAR:  8 to 13]","bozeman, mt"
